,price,signal,prediction,strategy
0,2791.88,buy,-1.0,-2791.88
0,2791.42,buy,-1.0,-5583.3
0,2797.18,sell,1.0,-2786.1200000000003
0,2789.72,buy,-1.0,-5575.84
0,2790.45,buy,-1.0,-8366.29
