,price,return,signal,prediction,strategy
0,33959.65,,buy,-1.0,
0,33895.49,-0.0018910879594625707,buy,-1.0,1.0018928771939866
0,33886.09,-0.0002773614914335464,buy,-1.0,1.0021708022377325
0,33885.16,-2.7445266246454807e-05,buy,-1.0,1.0021983074596665
0,33860.53,-0.0007271311602317674,buy,-1.0,1.0029273020829856
0,33770.47,-0.002663277290984957,buy,-1.0,1.0056019356556185
0,33832.43,0.001833057970865817,buy,-1.0,1.0037602974424242
0,33844.01,0.00034221658565416227,buy,-1.0,1.0034168527901983
0,33897.0,0.001564488359659751,buy,-1.0,1.0018482461574771
0,33896.67,-9.735422201038886e-06,buy,-1.0,1.0018579996206116
0,33912.66,0.0004716165252299636,buy,-1.0,1.001385618232247
0,33850.27,-0.001841420305452885,buy,-1.0,1.0032312888493946
0,33944.04,0.002766310618035772,sell,1.0,1.0060103803590166
0,33986.53,0.0012509833361109201,sell,1.0,1.0072696700918078
0,33967.19,-0.0005692109430412341,buy,-1.0,1.0078431822198224
0,33820.98,-0.004313738716565591,buy,-1.0,1.0122001450184273
0,33899.0,0.0023041954389060038,sell,1.0,1.0145351410863808
0,33888.07,-0.00032248038142734787,buy,-1.0,1.0148623615238999
0,33865.18,-0.0006756871698663769,buy,-1.0,1.015548322722254
0,33852.62,-0.00037095121649027244,buy,-1.0,1.0159251114887775
0,33748.65,-0.0030759801399391842,buy,-1.0,1.019054888052921
0,33757.86,0.00027286257450263526,buy,-1.0,1.0187768640455057
0,33782.4,0.0007266777202186551,buy,-1.0,1.0180368105193003
0,33819.39,0.001094349829837456,buy,-1.0,1.0169233314878598
0,33704.75,-0.0033955296623191726,buy,-1.0,1.020382193835801
0,33699.82,-0.00014628088299625005,buy,-1.0,1.0205314671617598
0,33718.4,0.0005511863253107498,buy,-1.0,1.0199691191660105
0,33778.84,0.0017908885208935913,sell,1.0,1.0217974067942013
0,33705.38,-0.0021771024104692083,buy,-1.0,1.0240243876946717
0,33762.23,0.0016852535151277669,sell,1.0,1.0257515833661182
0,33687.07,-0.002228637839351725,buy,-1.0,1.0280401614171566
0,33719.26,0.0009551032506009589,buy,-1.0,1.0270587456685305
0,33728.07,0.000261240883815554,buy,-1.0,1.026790470977766
0,33813.69,0.002535321728742472,sell,1.0,1.0293970179911325
0,33793.12,-0.0006085185984887477,buy,-1.0,1.0300236158506992
0,33826.07,0.0009745754898271553,sell,1.0,1.0310279409364644
0,33882.73,0.0016736380862073285,sell,1.0,1.0327549533601208
0,33906.13,0.0006903789480870707,sell,1.0,1.0334681918125306
0,33879.96,-0.0007721348524511296,buy,-1.0,1.0342664767744885
0,33889.5,0.0002815427498763875,buy,-1.0,1.0339753275339145
0,33842.0,-0.001402597249053919,buy,-1.0,1.0354265960185745
0,33935.39,0.0027557880025524113,sell,1.0,1.0382839475285968
0,33965.84,0.0008968910295497752,sell,1.0,1.0392155928169593
0,33991.76,0.0007628286242282491,sell,1.0,1.040008638658482
0,34012.62,0.0006134899150394492,sell,1.0,1.0406468692238429
